           1          -1           1
           2           0           0
           3           1           1
           4           2           4
           5           1           1
           6           0           0
           7           1           1
           8           0           0
           9          -1           1
          10          -2           4
          11          -3           9
          12          -2           4
          13          -1           1
          14          -2           4
          15          -1           1
          16          -2           4
          17          -3           9
          18          -4          16
          19          -5          25
          20          -4          16
          21          -5          25
          22          -4          16
          23          -3           9
          24          -2           4
          25          -1           1
          26           0           0
          27           1           1
          28           2           4
          29           3           9
          30           4          16
          31           3           9
          32           2           4
          33           3           9
          34           2           4
          35           1           1
          36           2           4
          37           3           9
          38           4          16
          39           5          25
          40           4          16
          41           3           9
          42           4          16
          43           5          25
          44           4          16
          45           5          25
          46           4          16
          47           3           9
          48           4          16
          49           3           9
          50           2           4
          51           3           9
          52           2           4
          53           1           1
          54           0           0
          55          -1           1
          56           0           0
          57           1           1
          58           0           0
          59          -1           1
          60           0           0
          61          -1           1
          62          -2           4
          63          -3           9
          64          -2           4
          65          -3           9
          66          -2           4
          67          -3           9
          68          -4          16
          69          -3           9
          70          -2           4
          71          -3           9
          72          -2           4
          73          -3           9
          74          -4          16
          75          -5          25
          76          -6          36
          77          -5          25
          78          -6          36
          79          -7          49
          80          -6          36
          81          -7          49
          82          -8          64
          83          -9          81
          84         -10         100
          85          -9          81
          86         -10         100
          87         -11         121
          88         -12         144
          89         -13         169
          90         -12         144
          91         -11         121
          92         -12         144
          93         -11         121
          94         -10         100
          95         -11         121
          96         -10         100
          97          -9          81
          98         -10         100
          99         -11         121
         100         -12         144
